Key,Match,MatchType,SymbolicKey,ParameterPath,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Enable,yes,norm,INPUT_PROCESS_GROUP_ENABLE,/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Guid,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Name,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Type,no,unmatched,,,INT,0,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Type/Value,no,unmatched,,,ENUM,2147483648,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Flags/Value,no,unmatched,,,INT,0,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Freq1/Value,no,unmatched,,,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Gain1/Value,no,unmatched,,,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Slope1/Value,no,unmatched,,,FLOAT,1,0.1,10,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Freq2/Value,no,unmatched,,,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Gain2/Value,no,unmatched,,,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Slope2/Value,no,unmatched,,,FLOAT,1,0.1,10,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Mute/Value,yes,norm,INPUT_PROCESS_GROUP_MUTE_VALUE,/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Gain/Value,yes,norm,INPUT_PROCESS_GROUP_GAIN_VALUE,/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InDelay/Value,yes,norm,INPUT_PROCESS_GROUP_DELAY_VALUE,/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InDelay/Value,FLOAT,0,0,2,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InDelay/Enable,yes,norm,INPUT_PROCESS_GROUP_DELAY_ENABLE,/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InDelay/Enable,BOOL,True,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InPolarity/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Gain/Value,no,unmatched,,,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Polarity/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Mute/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IsHighZActive/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FilterNameA,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FilterNameB,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FilterNameC,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Delay/Enable,no,unmatched,,,BOOL,True,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Delay/Value,no,unmatched,,,FLOAT,0,0,2,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FIR/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FIR/nTaps,no,unmatched,,,INT,2048,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FIR/Taps,no,unmatched,,,FLOAT[],FLOAT[2048],,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Type/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Fc/Value,no,unmatched,,,FLOAT,1000,10,24675,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Slope/Value,no,unmatched,,,FLOAT,24,6,48,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Type/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Fc/Value,no,unmatched,,,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Gain/Value,no,unmatched,,,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Q/Value,no,unmatched,,,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:7}/Slope/Value,no,unmatched,,,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/DryOutput/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/DryOutput/Gain/Value,no,unmatched,,,FLOAT,1,0.003981071705534973,1,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/Gain/Value,no,unmatched,,,FLOAT,1,0.003981071705534973,1,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/LowPassSlope/Value,no,unmatched,,,ENUM,12,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/LowPassFc/Value,no,unmatched,,,FLOAT,40,30,80,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/HiPassFc/Value,no,unmatched,,,FLOAT,20,10,60,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/SubHarmonic/HiPassSlope/Value,no,unmatched,,,ENUM,6,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/Gain/Value,no,unmatched,,,FLOAT,1,0.003981071705534973,1,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/LowPassSlope/Value,no,unmatched,,,ENUM,12,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/LowPassFc/Value,no,unmatched,,,FLOAT,80,40,160,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/HiPassFc/Value,no,unmatched,,,FLOAT,40,20,140,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/HarmonicGenerator/Harmonic/Mode,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Name,yes,norm,OUTPUT_CHANNEL_NAME,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Name,STRING,,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Bridge/Value,yes,norm,OUTPUT_CHANNEL_BRIDGE,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Bridge/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Mute/Value,yes,norm,OUTPUT_CHANNEL_MUTE,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Gain/Value,yes,norm,OUTPUT_CHANNEL_GAIN,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/OutPolarity/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/OutDelay/Value,no,unmatched,,,FLOAT,0,0,0.1,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/OutDelay/Enable,no,unmatched,,,BOOL,True,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/FIR/Enable,no,unmatched,,,BOOL,False,,,,,
