Key,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Flags/Value,INT,0,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Freq1/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Gain1/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Slope1/Value,FLOAT,1,0.1,10,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Freq2/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Gain2/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Slope2/Value,FLOAT,1,0.1,10,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InDelay/Value,FLOAT,0,0,2,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InDelay/Enable,BOOL,True,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InPolarity/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Polarity/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/IsHighZActive/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FilterNameA,STRING,,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FilterNameB,STRING,,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FilterNameC,STRING,,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Delay/Enable,BOOL,True,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/Delay/Value,FLOAT,0,0,2,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FIR/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FIR/nTaps,INT,2048,,,,,
/Device/Audio/Presets/Live/PreOutputProcess/Channels/Channel-{0:7}/FIR/Taps,FLOAT[],FLOAT[2048],,,,,
