template,suggestedKey
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/Q/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_Q_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/Ratio/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_RATIO_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/ReleaseTime/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_RELEASETIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/Subposition/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_SUBPOSITION_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/Threshold/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_THRESHOLD_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Feedloop","OUTPUT_CHANNEL_FEEDLOOP"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Feedloop/Enable","OUTPUT_CHANNEL_FEEDLOOP_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Feedloop/Value","OUTPUT_CHANNEL_FEEDLOOP_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/FIR/Enable","OUTPUT_CHANNEL_FIR_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/FIR/nTaps","OUTPUT_CHANNEL_FIR_NTAPS"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/FIR/Taps","OUTPUT_CHANNEL_FIR_TAPS"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Gain/Value","OUTPUT_CHANNEL_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR","OUTPUT_CHANNEL_IIR"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-0/Enable","OUTPUT_CHANNEL_IIR_IIR-0_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-0/Fc/Value","OUTPUT_CHANNEL_IIR_IIR-0_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-0/Gain/Value","OUTPUT_CHANNEL_IIR_IIR-0_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-0/Q/Value","OUTPUT_CHANNEL_IIR_IIR-0_Q_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-0/Slope/Value","OUTPUT_CHANNEL_IIR_IIR-0_SLOPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-0/Type/Value","OUTPUT_CHANNEL_IIR_IIR-0_TYPE_VALUE"
